Full,First,Last,Company,Label,Bio
Samir Malik,Samir,Malik,Firsthand,Member,"Samir is currently the CEO of firsthand, a value-based care business delivering engagement and better outcomes for those struggling with serious mental illness. Most recently served as the CEO of Genoa Telepsychiatry, and an EVP at Optum. Samir and his partners founded 1DocWay in 2011 with a mission of increasing access to behavioral healthcare for the underserved. Over the course of 10 years, Samir and his team led 1DocWay through incubation, venture financing, an exit /PE recap in 2015 and then another exit to Optum in 2018 as the largest provider of telepsychiatry services in the nation, currently serving over 250k+ Medicaid appointments per year.

Prior to 1DocWay, Samir served as the President of Signature Healthcare and Director at CenterPointe Hospital, midwest-based behavioral health inpatient and outpatient providers, before selling the combined businesses to private equity firms, where he still serves on the Board of Directors. Samir started his career as a consultant for McKinsey focused on payors and providers."
Tamara Bockow Kaplan,Tamara,Kaplan,"Brigham and Women's Hospital, Harvard Medical School",Member,Tamara Kaplan M.D. is a board-certified neurologist and multiple sclerosis specialist at Brigham and Women's Hospital. She also has an academic appointment at Harvard Medical School. Dr. Kaplan obtained her medical degree at the University of Pennsylvania School of Medicine in Philadelphia where she was elected to the Alpha Omega Alpha society. Dr. Kaplan completed her residency at the Harvard joint program with Brigham and Women's Hospital and Massachusetts General Hospital. Dr. Kaplan finished her training with fellowship in MS and Neuroimmunology at the Brigham and Women's Hospital. She gives lectures at Harvard Medical School and have written numerous published articles on various topics in MS. Dr. Kaplan currently lives in the Boston area with her husband and baby daughter.
Creagh Milford,Creagh,Milford,CVS Health,Member,"Lead CVS Retail Health businesses including all minuteclinic, health Hubs, virtual care (urgent, BH, virtual primary care and virtual specialty care)"
Dr. Julian Harris,Dr. Julian,Harris,ConcertoCare & Deerfield,Member,"Dr. Julian Harris is the Chairman and CEO of ConcertoCare, a tech enabled, value-based provider of at-home, comprehensive care for seniors and other adults with unmet health and social needs. In addition, Dr. Harris is an Operating Partner at Deerfield. 

Previously, Dr. Harris served as President of Care Allies at Cigna, and led U.S. Strategic Operations across Cigna's commercial and government businesses. 
Dr. Harris served as an adviser to Google Ventures (GV), led the healthcare team in the Office of Management and Budget (OMB) as the Chief Health Care Finance Official, and served as the Chief Executive of the Massachusetts Medicaid program. 
Dr. Harris practiced at Cambridge Health Alliance and worked as a clinical consultant at Best Doctors. Dr. Harris is a graduate of Duke University, and the Wharton School of Business and the Perelman School of Medicine at the University of Pennsylvania, where he serves as an adjunct professor. 
"
Garrett McCullough,Garrett,McCullough,Bain Capital,Engaged Health Team,"Garrett McCullough is an Associate on the Healthcare team within the North American Private Equity team at Bain Capital. At Bain Capital, Garrett has extensive experience covering Healthcare Technology and Pharma Services, including Hospital Optimization Software, Medical Supply Chain Software, PharmaTech, Revenue Cycle Management, Healthcare Payments, CRO/CDMO, and Clinical Trial Site Services. On the portfolio side, Garrett has worked closely with LeanTaaS, a leader in scheduling and throughput optimization software for ORs, inpatient beds, and infusion centers; and PartsSource, the largest online marketplace in US Healthcare, focused on evidence-based, digital approach to the healthcare supply chain to unlock better delivery, lower costs, and enhance clinical outcomes. While at Bain Capital, Garrett has also spent time covering FinTech and Consumer.  Garrett has served as the Treasurer and coordinator for Engaged Health since 2022. Garrett graduated with a Masters in Finance from McCombs School of Business at the University of Texas at Austin where he was a 2 year captain of the Men's Lacrosse team."
Julie Yoo,Julie,Yoo,a16z,Member,"Julie Yoo is a General Partner on the Bio + Health team, where she leads investments in companies that are transforming how we access, pay for, and experience healthcare. Her portfolio includes AKASA, Ambience, Bayesian Health, Bold Health, Firefly Health, Hippocratic AI, Marker Learning, Marley, Patina, Ribbon Health, Season Health, Sprinter Health, Thatch Health, Tomorrow Health, Topography, Turquoise Health and Zus Health. She is also a member of the Board of Directors at Bassett Healthcare Network.

Prior to joining Andreessen Horowitz, Julie was the cofounder and Chief Product Officer of Kyruus, a VC-backed healthtech company where she helped build and scale the business from 0 to 20M patients and over 225,000 healthcare providers across the US using their platform. Before that, Julie was VP of Product at Generation Health (acquired by CVS Health) and a Product Manager at Knome. Julie's tech career began as an early member of the software engineering team at Endeca Technologies, which was acquired by Oracle.

Julie studied computer science and pre-medicine as an undergrad at MIT and obtained an MS in genomics from Harvard-MIT HST and an MBA from MIT Sloan. Julie is a Young Global Leader with the World Economic Forum and has been recognized through numerous awards and honors from Midas Brink List, Becker's Hospital Review, Health Data Management, MedTech Boston, and Rock Health."
Harrison Bane,Harrison,Bane,Surgery Partners,Member,"Harrison Bane is the President of the American Group at Surgery Partners, a leading operator of surgical facilities and ancillary services with more than 180 locations nationwide. Prior to joining Surgery Partners, Harry served as president for Steward Health Care's North Region, encompassing 14 acute care hospitals, a large multispecialty physician group, and an ACO with nearly 500,000 lives. Before his tenure at Steward, he led the system wide integration of value-based care for a private, for-profit senior care provider. A graduate of Middlebury College, and earned his master's from the Tuck School of Business and Geisel School of Medicine at Dartmouth."
Niyum Gandhi,Niyum,Gandhi,Mass General Brigham,Member,"Niyum Gandhi is the Chief Financial Officer and Treasurer at Mass General Brigham.  His responsibilities include financial oversight for Mass General Brigham's clinical and academic operations and management within the areas of corporate finance, treasury, managed care, real estate, and supply chain, as well as operational oversight of Mass General Brigham Health Plan.  Prior to joining Mass General Brigham and returning to Boston in 2021, Niyum served on the executive team at Mount Sinai Health System in New York.  He joined the organization as its first Chief Population Health Officer in 2015.  In that role, he built Mount Sinai's clinically integrated network, direct-to-employer business unit and consumer digital function.  He later took on the role of Chief Financial Officer for the health system, overseeing the financial operations of Mount Sinai's eight hospitals and the Icahn School of Medicine. Niyum also sits on the boards of Dandelion Health (a data platform for clinical AI development) and the Foundation for Art and Healing (a not-for-profit focused on improving health and wellbeing through creative arts expression)"
Clay Ackerly,Clay,Ackerly,Ackerly McBride Group / Sunday Health,Member,Internist with a focus on care of older adults and cognitive wellness / dementia care. Continuing to grow dual businesses in concierge medicine and cognitive health. 
Pete Shalek,Pete,Shalek,Stellar Health,Member,"Pete is currently the Chief Product Officer at Stellar Health, which supports over ten thousand providers in their transition to value-based care. Previously, he was the CPO at AbleTo, which provides value-based mental health care to over one hundred thousand patients per year. AbleTo was acquired by Optum in 2020. He joined AbleTo via the acquisition of Joyable, which he co-founded and led as CEO for 6 years prior to its acquisition. Previously, he was an associate at Hellman & Friedman. He graduated from Columbia University with a degree, Phi Beta Kappa, in Mathematics and Economics, and received his MBA from Stanford University, where he was a Siebel and Arjay Miller Scholar."
